trial_id,task,stim_id,stim_onset_time,n_fixations,n_saccades,n_blinks
40,1_back,mst_294_A_l2.png,3078246,3,2,0
41,1_back,mst_215_A_l2.png,3080276,6,7,1
42,1_back,mst_215_B_l2.png,3082738,3,3,0
43,1_back,mst_331_A_l2.png,3085071,3,3,1
44,1_back,mst_180_A_l1.png,3087375,4,4,0
45,1_back,mst_180_B_l1.png,3089626,4,3,0
46,1_back,mst_314_A_l2.png,3091819,2,3,1
47,1_back,mst_314_B_l2.png,3094191,3,2,1
48,1_back,mst_084_A_l1.png,3096620,6,7,1
49,1_back,mst_084_B_l1.png,3098720,3,2,1
50,1_back,mst_249_A_l2.png,3100758,1,1,1
51,1_back,mst_317_B_l2.png,3102909,3,4,1
52,1_back,mst_748_A_foil.png,3104937,1,1,0
53,1_back,mst_748_A_foil.png,3107291,2,1,1
54,1_back,mst_009_A_l1.png,3109472,0,0,0
55,1_back,mst_009_B_l1.png,3111856,2,2,1
56,1_back,mst_168_A_l1.png,3113974,2,3,1
57,1_back,mst_168_B_l1.png,3116348,4,4,0
58,1_back,mst_014_A_l1.png,3118591,2,1,2
59,1_back,mst_014_B_l1.png,3120713,4,4,1
60,1_back,mst_248_A_l2.png,3122780,0,1,1
61,1_back,mst_248_B_l2.png,3124810,4,3,0
62,1_back,mst_579_A_foil.png,3127300,0,0,0
63,1_back,mst_579_A_foil.png,3129641,2,3,1
64,1_back,mst_077_A_l1.png,3132049,5,5,1
65,1_back,mst_687_A_foil.png,3134538,3,2,1
66,1_back,mst_687_A_foil.png,3136551,2,2,1
67,1_back,mst_114_A_l1.png,3138897,1,1,1
68,1_back,mst_114_B_l1.png,3141011,0,0,0
69,1_back,mst_359_A_l2.png,3143132,0,0,0
70,1_back,mst_106_A_l1.png,3145533,1,2,1
71,1_back,mst_106_B_l1.png,3147780,3,3,0
72,1_back,mst_238_A_foil.png,3149901,1,1,1
73,1_back,mst_238_A_foil.png,3152162,9,9,6
74,1_back,mst_002_A_l1.png,3154344,3,2,0
75,1_back,mst_223_A_l2.png,3156400,5,5,2
76,1_back,mst_223_B_l2.png,3158688,1,2,1
77,1_back,mst_249_B_l2.png,3160948,5,4,0
78,1_back,mst_726_A_foil.png,3162984,3,3,1
79,1_back,mst_726_A_foil.png,3165251,1,1,1
80,1_back,mst_024_A_l1.png,3167274,4,4,1
81,1_back,mst_426_A_foil.png,3169725,0,1,1
82,1_back,mst_426_A_foil.png,3172224,2,1,0
83,1_back,mst_020_A_l1.png,3174471,4,5,1
84,1_back,mst_300_A_foil.png,3176965,3,3,2
85,1_back,mst_300_A_foil.png,3179407,5,4,1
86,1_back,mst_023_B_l1.png,3181516,2,2,1
87,1_back,mst_153_A_l1.png,3183540,2,2,1
88,1_back,mst_153_B_l1.png,3185965,2,3,1
89,1_back,mst_167_A_l1.png,3188263,2,1,0
90,1_back,mst_167_B_l1.png,3190686,2,2,1
91,1_back,mst_051_A_foil.png,3192820,2,2,1
92,1_back,mst_051_A_foil.png,3195121,2,3,1
93,1_back,mst_024_B_l1.png,3197375,2,1,0
94,1_back,mst_570_A_foil.png,3199572,1,1,1
95,1_back,mst_570_A_foil.png,3201879,1,2,1
96,1_back,mst_286_A_l2.png,3204022,4,4,0
97,1_back,mst_042_A_l1.png,3206296,2,2,2
98,1_back,mst_316_A_l2.png,3208552,7,6,1
99,1_back,mst_042_B_l1.png,3210924,2,3,1
100,1_back,mst_003_B_l1.png,3213370,4,3,0
101,1_back,mst_701_A_foil.png,3215414,3,3,1
102,1_back,mst_701_A_foil.png,3217550,3,3,1
103,1_back,mst_068_A_l1.png,3219597,4,4,1
104,1_back,mst_532_A_foil.png,3221725,3,4,4
105,1_back,mst_532_A_foil.png,3223977,2,2,0
106,1_back,mst_446_A_foil.png,3226293,3,2,0
107,1_back,mst_446_A_foil.png,3228382,1,1,1
108,1_back,mst_034_A_l1.png,3230797,4,5,1
109,1_back,mst_034_B_l1.png,3232856,5,4,1
110,1_back,mst_316_B_l2.png,3234869,0,0,0
111,1_back,mst_165_A_l1.png,3237158,2,2,1
112,1_back,mst_311_A_l2.png,3239266,3,3,1
113,1_back,mst_151_A_foil.png,3241327,0,0,0
114,1_back,mst_151_A_foil.png,3243600,2,2,1
115,1_back,mst_064_A_foil.png,3245887,1,2,1
116,1_back,mst_064_A_foil.png,3248317,2,1,0
117,1_back,mst_151_A_l1.png,3250761,1,2,1
118,1_back,mst_711_A_foil.png,3253202,3,2,0
119,1_back,mst_711_A_foil.png,3255360,6,6,2
120,1_back,mst_020_B_l1.png,3257369,0,0,0
121,1_back,mst_221_A_l2.png,3259620,0,0,0
122,1_back,mst_004_A_l1.png,3261727,1,1,1
123,1_back,mst_004_B_l1.png,3264152,7,7,1
124,1_back,mst_069_B_l1.png,3266465,0,0,0
125,1_back,mst_351_A_l2.png,3268900,0,0,0
126,1_back,mst_184_A_l2.png,3271029,3,4,1
127,1_back,mst_184_B_l2.png,3273054,5,5,1
128,1_back,mst_330_A_foil.png,3275338,6,6,0
129,1_back,mst_330_A_foil.png,3277658,2,1,0
130,1_back,mst_154_A_foil.png,3280099,0,0,0
131,1_back,mst_154_A_foil.png,3282280,3,4,1
132,1_back,mst_103_A_foil.png,3284645,2,1,0
133,1_back,mst_103_A_foil.png,3286782,3,4,1
134,1_back,mst_151_B_l1.png,3289182,2,1,1
135,1_back,mst_100_A_l1.png,3291303,0,0,0
136,1_back,mst_063_B_l1.png,3293703,0,0,0
137,1_back,mst_278_A_l2.png,3295754,4,5,1
138,1_back,mst_278_B_l2.png,3298146,2,1,0
139,1_back,mst_247_A_l2.png,3300312,0,0,0
140,1_back,mst_359_B_l2.png,3302382,3,4,2
141,1_back,mst_165_B_l1.png,3304826,4,3,0
142,1_back,mst_311_B_l2.png,3307081,3,3,1
143,1_back,mst_666_A_foil.png,3309095,2,2,1
144,1_back,mst_666_A_foil.png,3311445,4,5,1
145,1_back,mst_094_A_l1.png,3313950,3,3,1
146,1_back,mst_094_B_l1.png,3316297,3,3,1
147,1_back,mst_100_B_l1.png,3318770,3,3,1
148,1_back,mst_633_A_foil.png,3320811,3,3,0
149,1_back,mst_633_A_foil.png,3322934,1,0,0
150,1_back,mst_132_A_foil.png,3325117,2,2,1
151,1_back,mst_132_A_foil.png,3327308,2,3,1
152,1_back,mst_068_B_l1.png,3329601,2,1,0
153,1_back,mst_327_A_foil.png,3332014,4,4,1
154,1_back,mst_327_A_foil.png,3334444,4,4,1
155,1_back,mst_075_B_l1.png,3336453,4,5,1
156,1_back,mst_259_A_foil.png,3338807,9,9,0
157,1_back,mst_259_A_foil.png,3341145,3,3,1
158,1_back,mst_238_B_l2.png,3343399,6,5,1
159,1_back,mst_486_A_foil.png,3345419,0,0,0
160,1_back,mst_486_A_foil.png,3347653,3,3,1
161,1_back,mst_452_A_foil.png,3349957,0,0,0
162,1_back,mst_452_A_foil.png,3352338,4,4,2
163,1_back,mst_247_B_l2.png,3354388,2,2,1
164,1_back,mst_351_B_l2.png,3356482,0,0,0
165,1_back,mst_338_B_l2.png,3358734,4,5,1
166,1_back,mst_077_B_l1.png,3361094,3,2,1
167,1_back,mst_286_B_l2.png,3363462,0,0,0
168,1_back,mst_294_B_l2.png,3365594,0,0,0
169,1_back,mst_331_B_l2.png,3367959,3,4,1
170,1_back,mst_287_A_l2.png,3370272,4,3,0
171,1_back,mst_287_B_l2.png,3372766,3,3,1
172,1_back,mst_085_A_l1.png,3375273,0,1,1
173,1_back,mst_085_B_l1.png,3377544,6,6,0
174,1_back,mst_120_B_l1.png,3379590,1,0,0
175,1_back,mst_299_A_l2.png,3381932,4,4,3
176,1_back,mst_299_B_l2.png,3384368,4,4,1
177,1_back,mst_221_B_l2.png,3386751,0,0,0
178,1_back,mst_295_A_l2.png,3388999,2,2,1
179,1_back,mst_295_B_l2.png,3391170,3,3,0
180,1_back,mst_002_B_l1.png,3393615,3,4,2
1,2_back,mst_367_A_foil.png,3532106,5,5,1
2,2_back,mst_355_A_foil.png,3534177,5,5,0
3,2_back,mst_069_A_l1.png,3536194,5,5,1
4,2_back,mst_278_A_l2.png,3538232,3,3,1
5,2_back,mst_012_A_l1.png,3540504,3,3,1
6,2_back,mst_068_A_l1.png,3542931,3,3,0
7,2_back,mst_012_A_l1.png,3545120,5,4,0
8,2_back,mst_068_A_l1.png,3547598,5,5,1
9,2_back,mst_247_A_l2.png,3549979,4,5,1
10,2_back,mst_042_A_l1.png,3552242,2,2,1
11,2_back,mst_248_A_l2.png,3554502,2,2,1
12,2_back,mst_042_B_l1.png,3556596,4,4,1
13,2_back,mst_248_B_l2.png,3558709,2,2,0
14,2_back,mst_077_A_l1.png,3560733,3,3,0
15,2_back,mst_300_A_l2.png,3562929,3,3,0
16,2_back,mst_316_A_l2.png,3565269,2,2,1
17,2_back,mst_275_A_l2.png,3567279,3,3,0
18,2_back,mst_298_A_l2.png,3569612,3,3,1
19,2_back,mst_275_A_l2.png,3571624,2,2,1
20,2_back,mst_298_A_l2.png,3573847,5,4,0
21,2_back,mst_294_A_l2.png,3576352,4,5,1
22,2_back,mst_338_A_l2.png,3578636,4,4,1
23,2_back,mst_294_B_l2.png,3580865,4,4,0
24,2_back,mst_338_A_l2.png,3583260,6,6,0
25,2_back,mst_067_A_l1.png,3585388,2,2,2
26,2_back,mst_063_A_l1.png,3587851,2,1,0
27,2_back,mst_067_B_l1.png,3590067,3,3,1
28,2_back,mst_063_B_l1.png,3592483,1,1,1
29,2_back,mst_331_A_l2.png,3594541,2,3,1
30,2_back,mst_082_A_l1.png,3596933,2,2,1
31,2_back,mst_331_A_l2.png,3599441,3,2,0
32,2_back,mst_082_B_l1.png,3601548,3,3,1
33,2_back,mst_180_A_l1.png,3604012,4,5,2
34,2_back,mst_041_A_l1.png,3606136,4,4,1
35,2_back,mst_004_A_l1.png,3608445,3,3,1
36,2_back,mst_216_A_l2.png,3610649,3,2,1
37,2_back,mst_004_B_l1.png,3612944,4,4,0
38,2_back,mst_216_A_l2.png,3615073,3,4,2
39,2_back,mst_359_A_l2.png,3617512,4,4,1
40,2_back,mst_090_A_l1.png,3619659,3,2,0
41,2_back,mst_359_A_l2.png,3621805,3,4,1
42,2_back,mst_090_B_l1.png,3623976,5,4,0
43,2_back,mst_083_A_l1.png,3626125,6,7,1
44,2_back,mst_023_A_l1.png,3628272,5,5,1
45,2_back,mst_009_A_l1.png,3630365,2,2,1
46,2_back,mst_144_A_l1.png,3632624,3,2,1
47,2_back,mst_003_A_l1.png,3634911,0,1,1
48,2_back,mst_144_A_l1.png,3637263,4,3,0
49,2_back,mst_003_A_l1.png,3639585,3,4,1
50,2_back,mst_280_A_l2.png,3641815,5,5,1
51,2_back,mst_240_A_l2.png,3643901,3,3,1
52,2_back,mst_280_B_l2.png,3646086,5,4,1
53,2_back,mst_240_A_l2.png,3648188,4,5,1
54,2_back,mst_215_A_l2.png,3650432,2,2,1
55,2_back,mst_192_A_l2.png,3652801,3,3,1
56,2_back,mst_332_A_l2.png,3655193,2,2,0
57,2_back,mst_192_B_l2.png,3657401,3,2,0
58,2_back,mst_332_A_l2.png,3659460,2,2,1
59,2_back,mst_114_A_l1.png,3661907,2,2,1
60,2_back,mst_352_A_l2.png,3664068,2,2,1
61,2_back,mst_085_A_l1.png,3666402,2,2,1
62,2_back,mst_352_B_l2.png,3668718,0,1,1
63,2_back,mst_085_B_l1.png,3670887,3,3,0
64,2_back,mst_021_A_l1.png,3672958,3,2,1
65,2_back,mst_290_A_l2.png,3675029,1,2,2
66,2_back,mst_021_A_l1.png,3677467,4,4,1
67,2_back,mst_168_A_l1.png,3679866,5,4,0
68,2_back,mst_201_A_l2.png,3681981,0,0,0
69,2_back,mst_120_A_l1.png,3684365,2,3,1
70,2_back,mst_238_A_l2.png,3686396,1,1,1
71,2_back,mst_317_A_l2.png,3688436,5,5,0
72,2_back,mst_238_B_l2.png,3690713,2,2,1
73,2_back,mst_317_B_l2.png,3693218,4,4,1
74,2_back,mst_016_A_l1.png,3695409,2,2,1
75,2_back,mst_356_A_l2.png,3697628,4,4,0
76,2_back,mst_016_A_l1.png,3700029,3,2,1
77,2_back,mst_014_A_l1.png,3702485,5,6,1
78,2_back,mst_151_A_l1.png,3704698,3,3,1
79,2_back,mst_014_A_l1.png,3706921,6,6,0
80,2_back,mst_020_A_l1.png,3709082,3,2,0
81,2_back,mst_225_A_l2.png,3711574,2,3,2
82,2_back,mst_020_B_l1.png,3713707,3,3,1
83,2_back,mst_225_A_l2.png,3715898,2,2,1
84,2_back,mst_106_A_l1.png,3718006,2,1,1
85,2_back,mst_024_A_l1.png,3720396,5,6,2
86,2_back,mst_106_A_l1.png,3722484,3,2,0
87,2_back,mst_008_A_l1.png,3724551,3,3,1
88,2_back,mst_212_A_l2.png,3726717,2,3,1
89,2_back,mst_184_A_l2.png,3728936,5,4,0
90,2_back,mst_035_A_l1.png,3731263,6,7,2
91,2_back,mst_184_B_l2.png,3733418,2,1,0
92,2_back,mst_035_A_l1.png,3735791,7,7,1
93,2_back,mst_002_A_l1.png,3738016,4,4,1
94,2_back,mst_308_A_l2.png,3740060,4,5,2
95,2_back,mst_002_B_l1.png,3742415,6,6,2
96,2_back,mst_308_B_l2.png,3744435,5,4,0
97,2_back,mst_075_A_l1.png,3746695,5,6,2
98,2_back,mst_103_A_l1.png,3748944,5,5,0
99,2_back,mst_075_A_l1.png,3751024,2,1,0
100,2_back,mst_103_A_l1.png,3753340,5,6,1
101,2_back,mst_249_A_l2.png,3755747,6,6,1
102,2_back,mst_183_A_l2.png,3758017,2,2,1
103,2_back,mst_249_B_l2.png,3760200,3,2,0
104,2_back,mst_273_A_l2.png,3762328,1,1,1
105,2_back,mst_222_A_l2.png,3764560,7,7,1
106,2_back,mst_167_A_l1.png,3767023,18,19,1
107,2_back,mst_222_B_l2.png,3769130,4,3,0
108,2_back,mst_221_A_l2.png,3771542,5,5,2
109,2_back,mst_287_A_l2.png,3773613,3,3,1
110,2_back,mst_221_B_l2.png,3775663,1,1,1
111,2_back,mst_287_B_l2.png,3777959,0,0,0
112,2_back,mst_100_A_l1.png,3779999,1,2,1
113,2_back,mst_178_A_l1.png,3782234,1,1,0
114,2_back,mst_100_B_l1.png,3784617,5,5,2
115,2_back,mst_237_A_l2.png,3786888,3,2,1
116,2_back,mst_314_A_l2.png,3789383,3,3,2
117,2_back,mst_237_A_l2.png,3791589,1,1,2
118,2_back,mst_314_A_l2.png,3793735,7,8,2
119,2_back,mst_306_A_l2.png,3796202,8,7,1
120,2_back,mst_284_A_l2.png,3798517,2,2,1
121,2_back,mst_306_A_l2.png,3800524,0,0,0
122,2_back,mst_284_A_l2.png,3802562,7,7,1
123,2_back,mst_094_A_l1.png,3804709,2,2,1
124,2_back,mst_295_A_l2.png,3807018,6,6,2
125,2_back,mst_094_A_l1.png,3809427,0,0,0
126,2_back,mst_295_B_l2.png,3811507,3,4,1
127,2_back,mst_223_A_l2.png,3813887,5,5,1
128,2_back,mst_034_A_l1.png,3816145,3,2,1
129,2_back,mst_165_A_l1.png,3818296,4,4,3
130,2_back,mst_147_A_l1.png,3820504,0,1,1
131,2_back,mst_165_A_l1.png,3822674,6,6,0
132,2_back,mst_147_B_l1.png,3824936,6,6,2
133,2_back,mst_304_A_l2.png,3827312,2,2,1
134,2_back,mst_091_A_l1.png,3829801,5,4,1
135,2_back,mst_304_A_l2.png,3832052,5,5,1
136,2_back,mst_091_B_l1.png,3834391,3,3,2
137,2_back,mst_153_A_l1.png,3836762,3,4,1
138,2_back,mst_311_A_l2.png,3838889,6,6,1
139,2_back,mst_153_B_l1.png,3841135,6,5,1
140,2_back,mst_305_A_l2.png,3843204,2,3,1
141,2_back,mst_299_A_l2.png,3845453,2,2,0
142,2_back,mst_305_A_l2.png,3847657,3,2,1
143,2_back,mst_299_B_l2.png,3850040,6,6,2
144,2_back,mst_351_A_l2.png,3852496,4,4,1
145,2_back,mst_011_A_l1.png,3854894,2,2,2
146,2_back,mst_351_A_l2.png,3857145,2,2,2
147,2_back,mst_011_B_l1.png,3859386,0,0,0
148,2_back,mst_084_A_l1.png,3861796,0,0,0
149,2_back,mst_148_A_l1.png,3863824,3,3,2
150,2_back,mst_084_B_l1.png,3866212,2,2,0
151,2_back,mst_148_A_l1.png,3868699,5,5,1
152,2_back,mst_286_A_l2.png,3870928,3,4,1
153,2_back,mst_513_A_foil.png,3873205,2,2,0
154,2_back,mst_371_A_foil.png,3875330,11,10,5
155,2_back,mst_060_A_foil.png,3877736,10,10,1
156,2_back,mst_149_A_foil.png,3880061,7,8,1
157,2_back,mst_600_A_foil.png,3882196,8,7,1
158,2_back,mst_309_A_foil.png,3884216,5,6,1
159,2_back,mst_441_A_foil.png,3886415,9,8,1
