onset	duration	trial_type	stim_id	condition	identity	corr_resp	block	fix_duration	subj_id	resp_key	rt
162.725	1.5	repeat	mst_263_A_l4.png	repeat	A	1	4	0.959947681098726	102	1	1.03469462879002
166.625	1.5	compared	mst_131_A_l3.png	compared	A	none	4	2.38835493173915	102	NA	NaN
169.75	1.5	compared	mst_131_B_l3.png	compared	B	2	4	1.61846595298039	102	2	0.734791422262788
173.667	1.5	filler	mst_136_A_foil.png	filler	F	none	4	2.40839148895719	102	NA	NaN
177.142	1.5	compared	mst_016_A_l2.png	compared	A	none	4	1.96554858592378	102	NA	NaN
180.284	1.5	compared	mst_016_B_l2.png	compared	B	2	4	1.63504744258854	102	2	0.916667371988297
184.276	1.5	filler	mst_226_A_foil.png	filler	F	none	4	2.48062384278351	102	NA	NaN
187.534	1.5	compared	mst_064_A_l2.png	compared	A	none	4	1.74686699457539	102	NA	NaN
191.442	1.5	compared	mst_064_B_l2.png	compared	B	2	4	2.39744090149282	102	2	1.01941414736211
200.084	1.5	filler	mst_061_A_foil.png	filler	F	none	4	1.1206319537808	102	NA	NaN
203.267	1.5	filler	mst_229_A_foil.png	filler	F	none	4	1.6764864573866	102	NA	NaN
206.176	1.5	filler	mst_164_A_foil.png	filler	F	none	4	1.39801531813803	102	NA	NaN
209.459	1.5	filler	mst_021_A_foil.png	filler	F	none	4	1.77527829381001	102	NA	NaN
211.967	1.5	compared	mst_213_A_l3.png	compared	A	none	4	0.997798028568657	102	NA	NaN
