onset	duration	trial_type	stim_id	corr_resp	fix_duration	subj_id	resp_key	rt
7.986	1.5	lure	mst_314_B_l4.png	2	1.97772499441484	102	NA	NaN
10.826	1.5	lure	mst_264_B_l4.png	2	1.32593555484306	102	1	1.00858661253005
13.984	1.5	new	mst_042_A_foil.png	none	1.64944706395184	102	NA	NaN
16.026	1.5	old	mst_277_A_l4.png	1	0.530913529613571	102	1	0.91053544729948
19.301	1.5	lure	mst_252_B_l4.png	2	1.76464164503112	102	2	0.929721862077713
21.859	1.5	old	mst_304_A_l4.png	1	1.04884603687076	102	1	0.83040844835341
25.284	1.5	old	mst_256_A_l4.png	1	1.91831497711609	102	1	0.988458045758307
29.267	1.5	lure	mst_286_B_l4.png	2	2.47091249015501	102	2	1.18717045616359
31.609	1.5	old	mst_278_A_l4.png	1	0.834111650268832	102	1	1.20951894670725
34.751	1.5	lure	mst_307_B_l4.png	2	1.63484997998909	102	2	1.20491848140955
38.159	1.5	old	mst_301_A_l4.png	1	1.89822770053401	102	2	0.999577200040221
41.284	1.5	new	mst_198_A_foil.png	none	1.61574731578816	102	2	1.06376478355378
43.492	1.5	new	mst_177_A_foil.png	none	0.699146665410484	102	NA	NaN
45.801	1.5	new	mst_058_A_foil.png	none	0.80056100610277	102	NA	NaN
49.234	1.5	new	mst_192_A_foil.png	none	1.9244871628324	102	NA	NaN
52.859	1.5	new	mst_065_A_foil.png	none	2.11751999550011	102	NA	NaN
55.834	1.5	lure	mst_253_B_l4.png	2	1.46893627507061	102	NA	NaN
59.776	1.5	lure	mst_291_B_l4.png	2	2.42882562167959	102	NA	NaN
61.842	1.5	lure	mst_275_B_l4.png	2	0.560210358134026	102	2	1.41968976240605
64.134	1.5	new	mst_146_A_foil.png	none	0.786392933965743	102	NA	NaN
